Package,Class,Lines of Code,Cyclomatic Complexity,Weight Methods per Class,Depth of Inheritance Tree,Number of Children,Coupling between Objects,Response for Class,Lack of Cohesion of Methods
com.nostra13.universalimageloader.cache.disc,DiskCache.java,15,7,7,0,2,1,7,0
com.nostra13.universalimageloader.cache.disc.impl,LimitedAgeDiskCache.java,71,10,10,2,0,1,21,5
com.nostra13.universalimageloader.cache.disc.impl,UnlimitedDiskCache.java,14,3,3,2,0,1,3,0
com.nostra13.universalimageloader.cache.disc.impl,BaseDiskCache.java,123,24,24,1,2,1,26,8
com.nostra13.universalimageloader.cache.disc.impl.ext,DiskLruCache.java,666,132,133,3,0,2,107,25
com.nostra13.universalimageloader.cache.disc.impl.ext,LruDiskCache.java,169,48,123,1,0,1,36,12
com.nostra13.universalimageloader.cache.disc.impl.ext,StrictLineReader.java,94,11,11,1,0,1,8,4
com.nostra13.universalimageloader.cache.disc.impl.ext,Util.java,53,5,5,1,0,1,5,0
com.nostra13.universalimageloader.cache.disc.naming,FileNameGenerator.java,4,1,1,0,2,1,1,0
com.nostra13.universalimageloader.cache.disc.naming,HashCodeFileNameGenerator.java,6,1,1,1,0,1,1,0
com.nostra13.universalimageloader.cache.disc.naming,Md5FileNameGenerator.java,26,3,4,1,0,1,3,2
com.nostra13.universalimageloader.cache.memory,LimitedMemoryCache.java,59,7,7,2,4,1,15,5
com.nostra13.universalimageloader.cache.memory,BaseMemoryCache.java,32,6,6,1,2,1,12,0
com.nostra13.universalimageloader.cache.memory,MemoryCache.java,10,5,5,0,4,1,5,0
com.nostra13.universalimageloader.cache.memory.impl,LimitedAgeMemoryCache.java,42,9,9,1,0,1,12,6
com.nostra13.universalimageloader.cache.memory.impl,UsingFreqLimitedMemoryCache.java,74,9,9,3,0,1,17,0
com.nostra13.universalimageloader.cache.memory.impl,FuzzyKeyMemoryCache.java,40,6,6,1,0,1,13,6
com.nostra13.universalimageloader.cache.memory.impl,LruMemoryCache.java,89,10,10,1,0,1,20,7
com.nostra13.universalimageloader.cache.memory.impl,WeakMemoryCache.java,10,1,1,2,0,1,1,0
com.nostra13.universalimageloader.cache.memory.impl,FIFOLimitedMemoryCache.java,43,8,8,3,0,1,11,0
com.nostra13.universalimageloader.cache.memory.impl,LRULimitedMemoryCache.java,57,9,9,3,0,1,15,5
com.nostra13.universalimageloader.cache.memory.impl,LargestLimitedMemoryCache.java,64,8,8,3,0,1,12,0
com.nostra13.universalimageloader.core,ImageLoadingInfo.java,26,1,1,1,0,1,1,0
com.nostra13.universalimageloader.core,DisplayImageOptions.java,270,53,51,1,0,1,26,23
com.nostra13.universalimageloader.core,DefaultConfigurationFactory.java,118,18,17,1,0,1,20,0
com.nostra13.universalimageloader.core,ImageLoaderEngine.java,126,25,25,1,0,1,30,18
com.nostra13.universalimageloader.core,DisplayBitmapTask.java,50,4,4,1,0,1,4,3
com.nostra13.universalimageloader.core,LoadAndDisplayImageTask.java,390,47,108,3,0,1,64,19
com.nostra13.universalimageloader.core,ImageLoader.java,306,177,177,2,0,7,280,20
com.nostra13.universalimageloader.core,ProcessAndDisplayImageTask.java,27,2,2,1,0,1,3,2
com.nostra13.universalimageloader.core,ImageLoaderConfiguration.java,335,60,35,1,0,1,3,2
com.nostra13.universalimageloader.core.assist,LoadedFrom.java,2,0,0,2,0,1,0,0
com.nostra13.universalimageloader.core.assist,ContentLengthInputStream.java,38,16,16,2,0,1,28,8
com.nostra13.universalimageloader.core.assist,FailReason.java,16,3,3,2,0,1,3,3
com.nostra13.universalimageloader.core.assist,ImageScaleType.java,2,0,0,2,0,1,0,0
com.nostra13.universalimageloader.core.assist,FlushedInputStream.java,26,2,2,3,0,1,3,0
com.nostra13.universalimageloader.core.assist,ImageSize.java,36,9,9,1,0,3,13,6
com.nostra13.universalimageloader.core.assist,QueueProcessingType.java,2,0,0,2,0,1,0,0
com.nostra13.universalimageloader.core.assist,ViewScaleType.java,19,1,1,2,0,1,0,0
com.nostra13.universalimageloader.core.assist.deque,LinkedBlockingDeque.java,616,202,188,2,0,1,155,27
com.nostra13.universalimageloader.core.assist.deque,BlockingDeque.java,36,29,29,0,1,1,29,0
